"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"/ControlRig/M_Manip.M_Manip","24","4","1","1","4.874872","0","13"
"/Paper2D/DefaultSpriteMaterial.DefaultSpriteMaterial","24","24","9","2","35.614422","0","112"
"/Engine/EngineDebugMaterials/M_VolumeRenderSphereTracePP.M_VolumeRenderSphereTracePP","24","8","1","1","7.910936","0","31"
"/Engine/VREditor/TransformGizmo/TransformGizmoMaterial.TransformGizmoMaterial","24","2","2","1","2.747307","0","3"
"/Engine/EngineMaterials/Widget3DPassThrough.Widget3DPassThrough","24","26","12","6","35.789852","0","70"
"/Engine/EngineSky/VolumetricClouds/m_SimpleVolumetricCloud.m_SimpleVolumetricCloud","24","10","1","1","16.179903","0","42"
"/Engine/EngineMaterials/DefaultPostProcessMaterial.DefaultPostProcessMaterial","24","10","1","1","9.975045","0","39"
"/Engine/EngineMaterials/DefaultDeferredDecalMaterial.DefaultDeferredDecalMaterial","24","77","1","1","119.449692","0","753"
"/Engine/EngineMaterials/DefaultMaterial.DefaultMaterial","24","210","1","1","572.733826","0","4856"
"/Engine/EngineMaterials/WorldGridMaterial.WorldGridMaterial","24","598","1","1","1483.040771","0","26578"
"/Engine/EngineMaterials/DefaultTextMaterialOpaque.DefaultTextMaterialOpaque","24","21","1","1","46.311890","0","126"
"/AppleARKit/M_SceneDepthOcclusion.M_SceneDepthOcclusion","24","8","1","1","1.671064","0","6"
"/AppleARKit/M_OcclusionOverlay.M_OcclusionOverlay","24","16","2","2","1.656044","0","5"
"/ARUtilities/Materials/M_DepthColoration.M_DepthColoration","24","8","1","1","0.578934","0","1"
"/GoogleARCore/M_SceneDepthOcclusion.M_SceneDepthOcclusion","24","8","0","1","0.000000","0","0"
"/ARUtilities/Materials/M_PassthroughCamera.M_PassthroughCamera","24","16","1","2","1.192832","0","1"
"/ARUtilities/Materials/M_ScreenSpacePassthroughCamera.M_ScreenSpacePassthroughCamera","24","8","1","2","1.402090","0","1"
"/Engine/EngineMaterials/PPM_DefaultCalibrationGrayscale.PPM_DefaultCalibrationGrayscale","24","8","4","1","7.599823","0","34"
"/Engine/EngineMaterials/PPM_DefaultCalibrationColor.PPM_DefaultCalibrationColor","24","8","1","1","7.489732","0","27"
"/Engine/EditorMaterials/PreviewShadowIndicatorMaterial.PreviewShadowIndicatorMaterial","24","2","2","1","2.525895","0","3"
"/Game/HandheldAR/Blueprints/Placeable/Materials/M_Placeable.M_Placeable","24","2","2","1","2.655605","0","3"
"/Game/HandheldAR/Blueprints/Placeable/Materials/M_Shadow.M_Shadow","24","2","2","1","3.102760","0","3"
"/Game/HandheldAR/Blueprints/Placeable/Materials/M_Plane_Plain.M_Plane_Plain","24","2","2","1","2.730178","0","2"
"/Game/HandheldAR/Blueprints/UI/Materials/M_ButtonUI.M_ButtonUI","24","9","1","1","9.672825","0","45"
"/Game/HandheldAR/Blueprints/UI/Materials/M_CircularMenuSelection.M_CircularMenuSelection","24","9","1","1","10.224103","0","39"
"/Game/HandheldAR/Blueprints/UI/Materials/M_ButtonRotatingUI.M_ButtonRotatingUI","24","9","1","1","9.325476","0","46"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeBillboardMaster.SpeedTreeBillboardMaster","24","42","1","1","106.471840","0","348"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeMaster.SpeedTreeMaster","24","102","5","1","279.432373","0","1564"
"/Game/HandheldAR/Blueprints/Placeable/Materials/M_Plane_01.M_Plane_01","24","2","1","1","1.474411","0","1"
"/Game/HandheldAR/Blueprints/Placeable/Materials/M_Plane_02.M_Plane_02","24","2","0","1","0.000000","0","0"
"/Game/HandheldAR/Blueprints/Placeable/Materials/M_Plane_Fallback.M_Plane_Fallback","24","2","2","1","2.909997","0","2"
"","24","1","0","1","0.000000","29","0"
