"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"/Engine/EngineMaterials/FlattenMaterial.FlattenMaterial","24","60","2","1","172.930603","0","557"
"/Engine/EngineMaterials/M_InvalidLightmapSettings.M_InvalidLightmapSettings","24","30","1","1","88.820763","0","209"
"/Engine/EngineMaterials/EmissiveMeshMaterial.EmissiveMeshMaterial","24","2","2","1","3.260065","0","3"
"/Paper2D/DefaultSpriteMaterial.DefaultSpriteMaterial","24","24","4","2","38.804314","0","121"
"/Engine/EngineMaterials/PhAT_JointLimitMaterial.PhAT_JointLimitMaterial","24","4","1","1","5.574789","0","13"
"/ControlRig/M_Manip.M_Manip","24","4","1","1","5.367472","0","10"
"/Engine/EngineDebugMaterials/M_VolumeRenderSphereTracePP.M_VolumeRenderSphereTracePP","24","6","1","1","6.858630","0","26"
"/Engine/VREditor/TransformGizmo/TransformGizmoMaterial.TransformGizmoMaterial","24","2","2","1","3.735931","0","3"
"/Engine/EngineMaterials/Widget3DPassThrough.Widget3DPassThrough","24","26","13","6","32.276947","0","69"
"/Engine/EngineSky/VolumetricClouds/m_SimpleVolumetricCloud.m_SimpleVolumetricCloud","24","10","1","1","17.378370","0","44"
"/Engine/EngineMaterials/DefaultPostProcessMaterial.DefaultPostProcessMaterial","24","8","1","1","9.047815","0","43"
"/Engine/EngineMaterials/DefaultDeferredDecalMaterial.DefaultDeferredDecalMaterial","24","77","1","1","127.764885","0","855"
"/Engine/EngineMaterials/DefaultMaterial.DefaultMaterial","24","210","7","1","614.098877","0","5179"
"/Engine/EngineMaterials/WorldGridMaterial.WorldGridMaterial","24","598","2","1","1511.087402","0","24262"
"/Engine/EngineMaterials/DefaultTextMaterialOpaque.DefaultTextMaterialOpaque","24","21","1","1","48.437389","0","164"
"/AppleARKit/M_SceneDepthOcclusion.M_SceneDepthOcclusion","24","6","0","1","0.000000","0","0"
"/AppleARKit/M_OcclusionOverlay.M_OcclusionOverlay","24","12","1","2","0.582404","0","1"
"/ARUtilities/Materials/M_DepthColoration.M_DepthColoration","24","6","1","1","1.404371","0","1"
"/GoogleARCore/M_SceneDepthOcclusion.M_SceneDepthOcclusion","24","6","0","1","0.000000","0","0"
"/ARUtilities/Materials/M_PassthroughCamera.M_PassthroughCamera","24","12","1","2","0.586352","0","1"
"/ARUtilities/Materials/M_ScreenSpacePassthroughCamera.M_ScreenSpacePassthroughCamera","24","8","3","2","3.633479","0","3"
"/Engine/EngineMaterials/PPM_DefaultCalibrationGrayscale.PPM_DefaultCalibrationGrayscale","24","6","1","1","5.624531","0","22"
"/Engine/EngineMaterials/PPM_DefaultCalibrationColor.PPM_DefaultCalibrationColor","24","6","1","1","5.866021","0","26"
"/Engine/EditorMaterials/PreviewShadowIndicatorMaterial.PreviewShadowIndicatorMaterial","24","2","2","1","2.769385","0","3"
"/Game/HandheldAR/Blueprints/UI/Materials/M_ButtonRotatingUI.M_ButtonRotatingUI","24","9","1","1","9.040709","0","42"
"/Game/OM/Material/Gradient.Gradient","24","9","1","1","8.701964","0","41"
"/Game/OM/ARcrosshair_Mat.ARcrosshair_Mat","24","21","3","1","45.223236","0","121"
"/Game/HandheldAR/Blueprints/Placeable/Materials/M_Shadow.M_Shadow","24","2","2","1","3.288763","0","3"
"/Game/OM/Models/Boar_Vessel_600-500BC_Etruscan_Ceramic/source/Boar_Vessel/Boar_Vessel_Mats.Boar_Vessel_Mats","24","15","1","1","38.343864","0","67"
"/Game/HandheldAR/Blueprints/Placeable/Materials/M_Placeable.M_Placeable","24","2","2","1","2.826275","0","2"
"/Game/HandheldAR/Blueprints/Placeable/Materials/M_Plane_Plain.M_Plane_Plain","24","2","2","1","2.854774","0","3"
"/Game/HandheldAR/Blueprints/UI/Materials/M_CircularMenuSelection.M_CircularMenuSelection","24","9","1","1","9.089397","0","29"
"/Game/HandheldAR/Blueprints/UI/Materials/M_ButtonUI.M_ButtonUI","24","9","1","1","9.145887","0","35"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeBillboardMaster.SpeedTreeBillboardMaster","24","42","1","1","103.140884","0","376"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeMaster.SpeedTreeMaster","24","102","2","1","276.518097","0","1552"
"","24","1","0","1","0.000000","21","0"
"/Game/HandheldAR/Blueprints/Placeable/Materials/M_Plane_01.M_Plane_01","24","2","0","1","0.000000","0","0"
"/Game/HandheldAR/Blueprints/Placeable/Materials/M_Plane_02.M_Plane_02","24","2","0","1","0.000000","0","0"
"/Game/HandheldAR/Blueprints/Placeable/Materials/M_Plane_Fallback.M_Plane_Fallback","24","2","2","1","2.862862","0","2"
